"Survived","Pclass","Sex","SibSp","Parch","Fare","GrupoEdad"
"No","3","male",1,0,7.25,"Adultos"
"Si","1","female",1,0,71.2833,"Adultos"
"Si","3","female",0,0,7.925,"Adultos"
"Si","1","female",1,0,53.1,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,8.4583,"Adultos"
"No","1","male",0,0,51.8625,"Adultos"
"No","3","male",3,1,21.075,"Niños"
"Si","3","female",0,2,11.1333,"Adultos"
"Si","2","female",1,0,30.0708,"Niños"
"Si","3","female",1,1,16.7,"Niños"
"Si","1","female",0,0,26.55,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",1,5,31.275,"Adultos"
"No","3","female",0,0,7.8542,"Niños"
"Si","2","female",0,0,16,"Adultos"
"No","3","male",4,1,29.125,"Niños"
"Si","2","male",0,0,13,"Adultos"
"No","3","female",1,0,18,"Adultos"
"Si","3","female",0,0,7.225,"Adultos"
"No","2","male",0,0,26,"Adultos"
"Si","2","male",0,0,13,"Adultos"
"Si","3","female",0,0,8.0292,"Adultos"
"Si","1","male",0,0,35.5,"Adultos"
"No","3","female",3,1,21.075,"Niños"
"Si","3","female",1,5,31.3875,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","1","male",3,2,263,"Adultos"
"Si","3","female",0,0,7.8792,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","1","male",0,0,27.7208,"Adultos"
"Si","1","female",1,0,146.5208,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"No","2","male",0,0,10.5,"3ra Edad"
"No","1","male",1,0,82.1708,"Adultos"
"No","1","male",1,0,52,"Adultos"
"Si","3","male",0,0,7.2292,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","female",2,0,18,"Adultos"
"Si","3","female",1,0,11.2417,"Niños"
"No","3","female",1,0,9.475,"Adultos"
"No","2","female",1,0,21,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",1,2,41.5792,"Niños"
"Si","3","female",0,0,7.8792,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",1,0,15.5,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"No","3","male",2,0,21.6792,"Adultos"
"No","3","female",1,0,17.8,"Adultos"
"No","3","male",4,1,39.6875,"Niños"
"No","3","male",0,0,7.8,"Adultos"
"Si","1","female",1,0,76.7292,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"No","1","male",0,1,61.9792,"3ra Edad"
"Si","1","male",0,0,35.5,"Adultos"
"Si","2","female",0,0,10.5,"Adultos"
"No","3","male",0,0,7.2292,"Adultos"
"Si","2","female",1,2,27.75,"Niños"
"No","3","male",5,2,46.9,"Niños"
"No","3","male",0,0,7.2292,"Adultos"
"Si","1","female",0,0,80,"Adultos"
"No","1","male",1,0,83.475,"Adultos"
"No","3","male",3,2,27.9,"Niños"
